episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,3.1998871219368885,0.6831002007482636,0.18316911224739832,0.0,1.2,5,0.0,False,True,0.791422758448878,1,17.709159380834848,18.051,prepare,0.0
0,2.0,3.199803927128797,0.6831086117496652,0.18416896459280355,30.0,1.0,8,1.0,False,True,0.7909531287087833,1,17.709159380834848,18.142,in_progress,0.0
0,3.0,3.2105341180645204,0.6881228901048381,1.337583263447383,-15.0,1.2,3,1.0,False,True,0.8515876373947734,1,17.709159380834848,18.215,in_progress,0.0
0,4.0,3.2291128640201343,0.6919381252246306,2.2601651314921996,-15.0,1.0,2,1.0,False,True,0.9565308828294653,1,17.709159380834848,18.281,in_progress,0.0
0,5.0,3.270800413803456,0.6821888366862879,-0.4375714768933222,-30.0,1.2,1,1.0,False,True,1.1918473681280015,1,17.709159380834848,18.348,in_progress,0.0
0,6.0,3.3107959273050818,0.6665450139460987,-4.038438879307328,-30.0,1.0,0,1.0,False,True,1.4175583109153682,2,17.709159380834848,18.416,in_progress,0.0
0,7.0,3.363521983108682,0.6361075005559037,-10.166968212617254,-15.0,1.2,3,1.0,False,True,1.7153690213425992,2,17.709159380834848,18.478,in_progress,0.0
0,8.0,3.4300355488633723,0.5947633863852197,-16.723861158888962,15.0,1.0,6,0.5,False,True,2.0908983184569974,2,17.709159380834848,18.544,in_progress,0.0
0,9.0,3.4711000703716692,0.5740904263952167,-18.67928829924899,-15.0,1.0,2,0.5,False,True,2.3227516670095474,3,17.709159380834848,18.609,in_progress,0.0
0,10.0,3.536479145475115,0.5448217216341273,-20.193219971784867,15.0,1.2,7,0.5,False,True,2.691780821266266,3,17.709159380834848,18.678,in_progress,0.0
0,11.0,3.6009980802630137,0.5163920941708763,-21.143210034089265,-15.0,1.2,3,0.5,False,True,3.056042507664486,4,17.709159380834848,18.747,in_progress,0.0
0,12.0,3.667684571984773,0.4831924041709052,-22.763518407514546,-30.0,1.0,0,0.1,False,True,3.4325580429599616,4,17.709159380834848,18.812,in_progress,0.0
0,13.0,3.7301528049211483,0.44115939591304226,-26.0378494678356,-30.0,1.2,1,0.1,False,True,3.7852146458482476,4,17.709159380834848,18.864,in_progress,0.0
0,14.0,3.783658176667702,0.38975415888790443,-31.2590603767803,-15.0,1.0,2,0.1,False,True,4.087240030233059,5,17.709159380834848,18.942,in_progress,0.0
0,15.0,3.8319322354306977,0.3352533358296989,-36.073971390164544,0.0,1.2,5,0.1,False,True,4.3597696064009535,5,17.709159380834848,19.012,in_progress,0.0
0,16.0,3.90292924528273,0.2588610587467586,-40.22306603276282,0.0,1.2,5,0.001,False,False,4.760525118018476,6,17.709159380834848,19.064,in_progress,0.0
